anno;mese;Acqua minerale (cl. 900);Birra nazionale (cl. 100);Biscotti frollini (gr. 1000);Burro (gr. 1000);Caffè tostato (gr. 1000);Carne fresca bovino adulto. primo taglio (gr. 1000);Carne fresca suina con osso (gr. 1000);Farina di frumento (gr. 1000);Filetti di platessa surgelati (gr. 1000);Latte fresco (cl. 100);Merenda preconfezionata (gr. 1000);Olio di semi di girasole (cl. 100);Olio extra vergine di oliva (cl. 100);Orate fresche di allevamento (gr. 1000);Pane (gr. 1000);Parmigiano Reggiano (gr. 1000);Pasta di semola di grano duro (gr. 1000);Pollo fresco (gr. 1000);Piselli surgelati (gr. 1000);Pomodori pelati (gr. 1000);Prosciutto cotto (gr. 1000);Prosciutto crudo (gr. 1000);Riso (gr. 1000);Stracchino o crescenza (gr. 1000);Succo di frutta (cl. 100);Tonno in olio d'oliva (gr. 1000);Uova di gallina (pz. 6);Vino da tavola (cl. 100);Yogurt (gr. 125);Zucchero (gr. 1000)
2011;Settembre;2.54;1.87;4.30;10.03;13.12;16.72;7.41;0.81;15.55;1.75;7.27;2.27;5.09;14.10;3.27;19.44;1.72;4.56;4.17;1.96;25.13;28.77;2.49;11.54;1.60;12.73;1.59;3.24;0.56;1.16
2011;Ottobre;2.54;1.87;4.30;9.95;13.06;16.72;7.43;0.82;15.55;1.75;7.04;2.26;5.08;13.95;3.27;19.46;1.72;4.58;4.37;1.93;25.13;28.82;2.49;11.66;1.60;12.70;1.58;3.25;0.56;1.16
2011;Novembre;2.54;1.88;4.73;9.93;13.42;16.72;7.49;0.81;15.12;1.65;7.04;2.27;5.08;13.48;3.24;19.34;1.73;4.58;4.10;1.93;25.02;28.90;2.49;11.36;1.59;12.72;1.57;3.33;0.55;1.16
2011;Dicembre;2.50;1.88;4.73;10.12;13.65;16.78;7.53;0.80;15.22;1.62;7.04;2.27;5.06;12.73;3.27;19.24;1.72;4.56;4.20;1.93;25.02;28.52;2.48;11.15;1.59;13.03;1.57;3.43;0.55;1.16
2012;Gennaio;2.50;1.89;4.73;10.19;13.65;16.83;7.58;0.80;14.10;1.61;7.07;2.28;5.09;13.40;3.26;19.47;1.72;4.52;4.15;1.93;25.02;28.52;2.49;11.18;1.59;13.27;1.56;3.36;0.55;1.16
2012;Febbraio;2.48;1.90;4.78;10.17;13.70;16.88;7.32;0.81;14.21;1.60;7.07;2.25;5.21;13.61;3.26;19.44;1.72;4.51;4.23;1.92;25.08;28.73;2.50;11.34;1.59;13.83;1.56;3.22;0.55;1.16
2012;Marzo;2.49;1.91;4.53;10.32;13.78;16.92;7.36;0.82;13.16;1.56;7.07;2.24;5.30;13.87;3.23;19.63;1.72;4.50;4.19;1.94;25.08;28.73;2.49;11.34;1.59;13.97;1.58;3.35;0.56;1.15
2012;Aprile;2.49;1.90;4.53;10.20;13.81;16.96;7.36;0.81;13.25;1.56;7.14;2.24;5.43;13.59;3.23;19.53;1.75;4.54;4.30;1.89;25.17;28.76;2.47;11.30;1.60;14.09;1.64;3.36;0.55;1.15
2012;Maggio;2.52;1.90;4.56;10.26;13.91;16.97;7.30;0.81;13.26;1.58;7.14;2.26;5.36;13.10;3.23;19.76;1.76;4.56;4.31;1.86;25.17;28.92;2.48;11.61;1.59;14.07;1.64;3.37;0.56;1.15
2012;Giugno;2.52;1.92;4.57;10.38;14.00;16.97;7.16;0.82;13.26;1.61;7.20;2.26;5.43;13.56;3.23;19.90;1.76;4.56;4.30;1.86;25.17;28.98;2.41;11.49;1.60;14.28;1.64;3.38;0.56;1.15
2012;Luglio;2.52;1.92;4.57;10.51;13.91;16.97;7.18;0.81;13.26;1.59;7.19;2.23;5.43;13.01;3.23;19.90;1.75;4.60;4.33;1.86;25.17;28.92;2.41;11.42;1.59;14.03;1.65;3.48;0.57;1.14
2012;Agosto;2.52;1.92;4.58;10.55;14.07;16.97;7.22;0.80;13.26;1.58;7.19;2.23;5.37;13.84;3.23;19.90;1.75;4.61;4.33;1.86;25.17;28.92;2.42;11.45;1.59;14.10;1.66;3.53;0.57;1.14
2012;Settembre;2.52;1.91;4.57;10.66;14.06;16.97;7.27;0.81;13.27;1.57;7.19;2.23;5.33;13.21;3.25;19.90;1.75;4.64;4.32;1.87;25.17;29.00;2.41;11.35;1.59;13.93;1.66;3.55;0.56;1.13
2012;Ottobre;2.49;1.92;4.47;10.68;14.06;17.02;7.27;0.81;13.27;1.58;7.19;2.23;5.38;13.45;3.26;19.58;1.76;4.66;4.19;1.87;25.64;29.35;2.41;11.50;1.59;13.84;1.67;3.60;0.56;1.13
2012;Dicembre;2.50;1.88;4.73;10.12;13.65;16.78;7.53;0.80;15.22;1.62;7.04;2.27;5.06;12.73;3.27;19.24;1.72;4.56;4.20;1.93;25.02;28.52;2.48;11.15;1.59;13.03;1.57;3.43;0.55;1.16
2013;Gennaio;2.50;1.89;4.73;10.19;13.65;16.83;7.58;0.80;14.10;1.61;7.07;2.28;5.09;13.40;3.26;19.47;1.72;4.52;4.15;1.93;25.02;28.52;2.49;11.18;1.59;13.27;1.56;3.36;0.55;1.16
2013;Febbraio;2.48;1.90;4.78;10.17;13.70;16.88;7.32;0.81;14.21;1.60;7.07;2.25;5.21;13.61;3.26;19.44;1.72;4.51;4.23;1.92;25.08;28.73;2.50;11.34;1.59;13.83;1.56;3.22;0.55;1.16
2013;Marzo;2.49;1.91;4.53;10.32;13.78;16.92;7.36;0.82;13.16;1.56;7.07;2.24;5.30;13.87;3.23;19.63;1.72;4.50;4.19;1.94;25.08;28.73;2.49;11.34;1.59;13.97;1.58;3.35;0.56;1.15
2013;Aprile;2.49;1.90;4.53;10.20;13.81;16.96;7.36;0.81;13.25;1.56;7.14;2.24;5.43;13.59;3.23;19.53;1.75;4.54;4.30;1.89;25.17;28.76;2.47;11.30;1.60;14.09;1.64;3.36;0.55;1.15
2013;Maggio;2.52;1.90;4.56;10.26;13.91;16.97;7.30;0.81;13.26;1.58;7.14;2.26;5.36;13.10;3.23;19.76;1.76;4.56;4.31;1.86;25.17;28.92;2.48;11.61;1.59;14.07;1.64;3.37;0.56;1.15
2013;Giugno;2.52;1.92;4.57;10.38;14.00;16.97;7.16;0.82;13.26;1.61;7.20;2.26;5.43;13.56;3.23;19.90;1.76;4.56;4.30;1.86;25.17;28.98;2.41;11.49;1.60;14.28;1.64;3.38;0.56;1.15
2013;Luglio;2.52;1.92;4.57;10.51;13.91;16.97;7.18;0.81;13.26;1.59;7.19;2.23;5.43;13.01;3.23;19.90;1.75;4.60;4.33;1.86;25.17;28.92;2.41;11.42;1.59;14.03;1.65;3.48;0.57;1.14
2013;Agosto;2.52;1.92;4.58;10.55;14.07;16.97;7.22;0.80;13.26;1.58;7.19;2.23;5.37;13.84;3.23;19.90;1.75;4.61;4.33;1.86;25.17;28.92;2.42;11.45;1.59;14.10;1.66;3.53;0.57;1.14
2013;Settembre;2.52;1.91;4.57;10.66;14.06;16.97;7.27;0.81;13.27;1.57;7.19;2.23;5.33;13.21;3.25;19.90;1.75;4.64;4.32;1.87;25.17;29.00;2.41;11.35;1.59;13.93;1.66;3.55;0.56;1.13
2013;Ottobre;2.49;1.92;4.47;10.68;14.06;17.02;7.27;0.81;13.27;1.58;7.19;2.23;5.38;13.45;3.26;19.58;1.76;4.66;4.19;1.87;25.64;29.35;2.41;11.50;1.59;13.84;1.67;3.60;0.56;1.13
2013;Novembre;2.50;1.94;4.45;10.59;14.02;17.10;7.25;0.82;13.27;1.59;7.05;2.27;5.48;13.75;3.28;19.58;1.77;4.70;4.19;1.87;25.64;29.52;2.41;11.37;1.56;13.85;1.63;3.62;0.56;1.13
2013;Dicembre;2.51;1.91;4.56;10.67;13.91;17.11;7.30;0.82;13.27;1.59;7.05;2.25;5.49;13.49;3.29;19.58;1.77;4.70;4.36;1.89;25.64;29.67;2.49;11.51;1.56;14.23;1.63;3.61;0.55;1.13
2014;Gennaio;2.56;1.98;4.56;10.72;14.01;17.11;7.31;0.82;13.27;1.66;7.07;2.25;5.50;13.11;3.29;19.86;1.76;4.70;4.36;1.91;25.64;29.42;2.48;11.51;1.56;17.98;1.63;3.61;0.57;1.13
2014;Febbraio;2.55;1.98;4.56;11.06;14.03;17.11;7.31;0.82;13.27;1.66;7.18;2.25;5.49;12.92;3.30;19.30;1.76;4.66;4.36;1.91;25.64;29.50;2.50;11.61;1.56;17.99;1.64;3.61;0.56;1.13
2014;Marzo;2.55;1.99;4.56;11.21;13.98;17.11;7.31;0.82;12.91;1.67;7.53;2.24;5.47;13.07;3.30;19.58;1.77;4.67;4.41;1.91;25.64;29.53;2.49;11.65;1.55;17.96;1.65;3.61;0.56;1.11
2014;Aprile;2.55;1.99;4.41;11.34;13.96;17.16;7.34;0.83;12.95;1.67;7.51;2.24;5.48;13.18;3.29;19.80;1.77;4.67;4.51;1.92;25.64;29.48;2.49;11.70;1.58;18.05;1.65;3.65;0.56;1.12
2014;Maggio;2.54;1.98;4.41;11.34;13.39;17.21;7.24;0.83;13.15;1.69;7.51;2.24;5.37;13.84;3.30;19.86;1.76;4.67;4.45;1.93;25.70;29.53;2.50;11.83;1.59;18.21;1.65;3.65;0.57;1.12
2014;Giugno;2.55;2.00;4.44;11.34;13.39;17.21;7.24;0.83;13.15;1.69;7.46;2.24;5.34;13.46;3.30;19.67;1.76;4.67;4.38;1.93;25.77;29.63;2.50;11.83;1.58;18.16;1.65;3.61;0.57;1.10
2014;Luglio;2.52;1.99;4.44;11.18;13.19;17.24;7.29;0.83;13.15;1.69;7.44;2.24;5.34;11.84;3.32;20.18;1.76;4.69;4.38;1.93;25.87;29.63;2.56;11.62;1.58;18.25;1.64;3.63;0.56;1.10
2014;Agosto;2.52;2.00;4.46;11.24;13.18;17.26;7.35;0.83;13.15;1.69;7.44;2.24;5.33;13.08;3.32;19.54;1.76;4.67;4.47;1.93;25.70;29.69;2.55;11.58;1.57;18.27;1.64;3.63;0.56;1.10
2015;Gennaio;2.28;2.01;4.49;10.88;13.4;17.28;7.4;0.87;13.06;1.64;7.4;2.3;5.59;15.13;3.4;19.93;1.81;4.62;4.43;1.95;26.22;29.84;2.61;10.82;1.65;18;1.65;3.75;0.57;1.09
2015;Febbraio;2.26;2;4.58;10.68;13.83;17.38;7.36;0.83;12.92;1.64;7.39;2.29;5.84;14.27;3.42;19.93;1.8;4.67;4.17;1.95;26.22;29.84;2.62;10.86;1.6;18.51;1.65;3.88;0.57;1.1
2015;Marzo;2.33;1.99;4.57;10.87;13.8;17.39;7.36;0.83;12.83;1.64;7.39;2.26;5.94;14.35;3.42;19.93;1.81;4.72;4.06;1.95;26.22;29.84;2.61;11.13;1.6;19.1;1.65;3.88;0.56;1.09
2015;Aprile;2.35;1.99;4.5;10.91;13.86;17.44;7.43;0.83;12.88;1.64;7.31;2.26;6.11;13.64;3.4;19.87;1.83;4.69;4.1;1.96;26.28;29.84;2.62;10.96;1.61;19.21;1.64;3.89;0.56;1.09
2015;Maggio;2.35;2.02;4.23;10.91;14.05;17.43;7.43;0.8;12.87;1.64;7.31;2.26;6.44;13.98;3.42;19.87;1.82;4.71;4.09;1.93;26.28;29.97;2.67;10.94;1.61;18.67;1.64;3.9;0.56;1.08
2015;Giugno;2.34;2.03;4.22;10.81;14.06;17.44;7.41;0.8;12.87;1.63;7.28;2.26;6.49;14.21;3.43;19.78;1.83;4.73;4.26;1.9;26.28;29.97;2.66;11;1.61;18.18;1.66;3.91;0.56;1.07
2015;Luglio;2.4;2.03;4.22;10.74;13.84;17.63;7.37;0.8;12.7;1.62;7.28;2.29;6.38;14.14;3.43;19.38;1.84;4.73;4.28;1.91;26.28;29.97;2.67;11.05;1.53;18.21;1.66;3.91;0.56;1.08
2015;Agosto;2.4;2.02;4.22;10.74;13.84;17.63;7.37;0.78;12.7;1.62;7.28;2.29;6.46;15.44;3.43;19.41;1.83;4.73;4.28;1.91;26.28;30;2.69;11.09;1.53;18.2;1.68;3.67;0.56;1.08
2015;Settembre;2.4;2.02;4.22;10.85;13.86;17.66;7.38;0.78;12.7;1.62;7.28;2.29;6.51;15.661;3.43;19.41;1.84;4.74;4.28;1.91;26.21;30.12;2.7;11.09;1.53;18.21;1.66;3.68;0.56;1.08
2015;Ottobre;2.43;2.04;4.22;10.86;13.84;17.82;7.38;0.78;12.76;1.62;7.28;2.31;6.53;14.456;3.45;19.44;1.84;4.75;4.23;1.91;26.33;30.12;2.71;11.09;1.53;18.26;1.66;3.68;0.56;1.08
2015;Novembre;2.42;2.05;4.22;11.18;14.03;17.82;7.31;0.79;12.64;1.62;7.17;2.29;6.43;15.058;3.47;19.38;1.79;4.77;4.11;1.95;26.3;30.07;2.73;11.06;1.54;18.3;1.65;3.69;0.56;1.08
2015;Dicembre;2.43;2.03;4.32;10.87;14.32;17.82;7.26;0.79;12.64;1.62;6.92;2.3;6.56;14.204;3.47;19.45;1.79;4.76;3.94;1.94;26.6;30.26;2.79;10.95;1.54;18.3;1.65;3.78;0.56;1.08
2016;Gennaio;2.43;2.06;4.23;10.65;14.09;17.82;7.31;0.75;12.62;1.49;6.92;2.3;6.58;15.268;3.5;19.01;1.8;4.74;4.07;1.94;25.61;29.81;2.75;11;1.54;18.33;1.26;3.62;0.56;1.06
2016;Febbraio;2.42;2.07;4.23;10.93;13.89;17.82;7.13;0.79;12.86;1.49;6.92;2.31;6.63;15.188;3.5;18.95;1.79;4.71;4.21;1.94;25.78;29.68;2.76;10.95;1.54;18.26;1.26;3.73;0.56;1.08
2016;Marzo;2.42;2.27;4.22;10.82;13.96;17.76;7.1;0.78;12.86;1.49;6.95;2.3;6.64;14.295;3.52;18.99;1.81;4.71;4.1;1.94;25.43;29.93;2.76;11;1.54;18.26;1.25;3.77;0.56;1.07
2016;Aprile;2.34;2.1;4.31;10.46;13.32;17.81;7.19;0.75;12.76;1.49;7.01;2.12;6.55;14.962;3.49;18.84;1.81;4.67;4.13;1.97;25.54;30.03;2.73;10.79;1.5;18.18;1.27;3.77;0.54;1.04
2016;Maggio;2.34;2.07;4.31;10.54;13.32;17.7;7.25;0.75;12.76;1.48;6.96;2.12;6.69;14.081;3.39;18.84;1.81;4.68;4.2;1.96;25.54;30.09;2.68;11.01;1.52;18.09;1.27;3.77;0.55;1.08
2016;Giugno;2.33;2.04;4.31;10.55;13.34;17.7;7.22;0.75;12.76;1.48;6.53;2.12;6.61;14.356;3.39;18.86;1.81;4.61;4.04;1.99;25.75;30.4;2.72;11.14;1.51;18.33;1.24;3.94;0.54;1.07
2016;Luglio;2.37;2.05;4.17;10.44;13.43;17.7;7.23;0.75;12.36;1.47;6.96;2.1;6.69;13.699;3.39;18.86;1.81;4.64;4.3;1.97;25.82;30.27;2.72;10.96;1.52;18.36;1.21;3.81;0.54;1.08
2016;Agosto;2.49;2.05;4.2;10.11;13.24;17.68;7.16;0.73;12.67;1.46;6.96;2.03;6.61;14.995;3.36;18.51;1.77;4.55;4.13;2;26.37;30.27;2.73;10.67;1.51;18.33;1.21;3.81;0.53;1.03
2016;Settembre;2.37;2.05;4.07;10.23;13.4;17.75;7.25;0.76;12.67;1.45;6.96;1.97;6.69;14.393;3.39;18.92;1.81;4.62;4.35;2.04;26.03;30.48;2.72;10.91;1.53;18.33;1.22;3.81;0.54;1.09
2016;Ottobre;2.47;2.05;4.1;10.12;13.4;17.79;7.31;0.76;12.67;1.46;7.02;1.97;6.72;14.752;3.39;18.86;1.81;4.67;4.29;2.09;26.18;30.51;2.72;10.91;1.52;17.46;1.21;3.85;0.54;1.09
2016;Novembre;2.49;2.05;4.1;10.15;13.04;17.99;7.31;0.75;12.67;1.46;6.96;1.97;6.88;13.374;3.39;19.05;1.81;4.63;4.29;2.09;26.2;30.38;2.72;10.91;1.52;17.49;1.22;3.85;0.54;1.09
2016;Dicembre;2.49;2.05;4.1;10.07;13.04;17.86;7.22;0.75;12.67;1.46;6.96;1.97;6.88;13.174;3.41;18.99;1.8;4.69;4.22;2.16;26.75;30.31;2.72;11.28;1.51;17.84;1.22;3.9;0.54;1.09
